#k-distance frequency[THz]
0.76361665 4.05283202
0.76626070 4.08164608
0.76890480 4.10916898
0.77154886 4.13534919
0.77419291 4.16013505
0.77683701 4.18347537
0.77948107 4.20531991
0.78212517 4.22561987
0.78476922 4.24432844
0.78741328 4.26140116
0.79005738 4.27679646
0.79270143 4.29047598
0.79534553 4.30240498
0.79798959 4.31255266
0.80063364 4.32089244
0.80327774 4.32740224
0.80592180 4.33206466
0.80856590 4.33486717
0.81120995 4.33580218
0.81120995 4.33580218
0.81385950 4.33930143
0.81650904 4.34976942
0.81915852 4.36711771
0.82180806 4.39120143
0.82445761 4.42182300
0.82710715 4.45873698
0.82975670 4.50165581
0.83240617 4.55025612
0.83505572 4.60418538
0.83770526 4.66306852
0.84035481 4.72651432
0.84300428 4.79412145
0.84565383 4.86548388
0.84830337 4.94019575
0.85095292 5.01785550
0.85360246 5.09806940
0.85625194 5.18045438
0.85890148 5.26464034
0.86155103 5.35027186
0.86420057 5.43700950
0.86685012 5.52453070
0.86949959 5.61253028
0.87214914 5.70072078
0.87479868 5.78883245
0.87744823 5.87661315
0.88009770 5.96382805
0.88274724 6.05025930
0.88539679 6.13570552
0.88804633 6.21998128
0.89069588 6.30291658
0.89334535 6.38435620
0.89599490 6.46415910
0.89864444 6.54219782
0.90129399 6.61835779
0.90394353 6.69253675
0.90659301 6.76464406
0.90924255 6.83460010
0.91189210 6.90233563
0.91454164 6.96779115
0.91719119 7.03091628
0.91984066 7.09166915
0.92249021 7.15001580
0.92513975 7.20592955
0.92778930 7.25939039
0.93043877 7.31038444
0.93308832 7.35890333
0.93573786 7.40494360
0.93838741 7.44850619
0.94103695 7.48959586
0.94368643 7.52822061
0.94633597 7.56439123
0.94898552 7.59812070
0.95163506 7.62942377
0.95428461 7.65831641
0.95693408 7.68481543
0.95958363 7.70893798
0.96223317 7.73070118
0.96488272 7.75012172
0.96753219 7.76721554
0.97018174 7.78199745
0.97283128 7.79448093
0.97548083 7.80467778
0.97813037 7.81259797
0.98077985 7.81824946
0.98342939 7.82163802
0.98607894 7.82276714
0.98607894 7.82276714
0.98870979 7.75490136
0.99134068 7.68640599
0.99397153 7.61738780
0.99660243 7.54795954
0.99923328 7.47823953
1.00186418 7.40835131
1.00449503 7.33842301
1.00712593 7.26858685
1.00975678 7.19897840
1.01238768 7.12973586
1.01501852 7.06099923
1.01764942 6.99290948
1.02028027 6.92560754
1.02291117 6.85923341
1.02554202 6.79392511
1.02817292 6.72981769
1.03080377 6.66704219
1.03343467 6.60572464
1.03606551 6.54598506
1.03869641 6.48793656
1.04132726 6.43168443
1.04395816 6.37732539
1.04658901 6.32494691
1.04921991 6.27462659
1.05185076 6.22643181
1.05448166 6.18041939
1.05711251 6.13663547
1.05974340 6.09511556
1.06237425 6.05588476
1.06500515 6.01895808
1.06763600 5.98434103
1.07026690 5.95271865
1.07289775 5.92790859
1.07552865 5.90376476
1.07815950 5.88047035
1.08079039 5.85820843
1.08342124 5.83715965
1.08605214 5.81749981
1.08868299 5.79939751
1.09131389 5.78301163
1.09394474 5.76848903
1.09657564 5.75596224
1.09920649 5.74554738
1.10183739 5.73734224
1.10446823 5.73142464
1.10709913 5.72785118
1.10972998 5.72665618

0.00000000 0.00000016
0.00263085 0.19898741
0.00526175 0.39770005
0.00789260 0.59586488
0.01052350 0.79321226
0.01315434 0.98947761
0.01578524 1.18440312
0.01841609 1.37773930
0.02104699 1.56924651
0.02367784 1.75869652
0.02630874 1.94587384
0.02893959 2.13057707
0.03157049 2.31262013
0.03420133 2.49183335
0.03683223 2.66806450
0.03946308 2.84117963
0.04209398 3.01106382
0.04472483 3.17762175
0.04735573 3.34077813
0.04998658 3.50047795
0.05261748 3.65668659
0.05524833 3.80938972
0.05787922 3.95859301
0.06051007 4.10432170
0.06314097 4.24661992
0.06577182 4.38554989
0.06840272 4.52119083
0.07103357 4.65363782
0.07366447 4.78300038
0.07629532 4.90940094
0.07892621 5.03297313
0.08155706 5.15385996
0.08418796 5.27221189
0.08681881 5.38818477
0.08944971 5.50193778
0.09208056 5.61363124
0.09471146 5.72342455
0.09734231 5.83147399
0.09997321 5.93793071
0.10260405 6.04293877
0.10523495 6.14663326
0.10786580 6.24913862
0.11049670 6.35056713
0.11312755 6.45101759
0.11575845 6.55057425
0.11838930 6.64930592
0.12102020 6.74726540
0.12365105 6.84448913
0.12628189 6.94099711
0.12891279 7.03679303
0.13154364 7.13186472
0.13417454 7.22618475
0.13680539 7.31971125
0.13943629 7.41238901
0.14206714 7.50415058
0.14469804 7.59491764
0.14732888 7.68460242
0.14995978 7.77310923
0.15259063 7.86033598
0.15522153 7.94617579
0.15785238 8.03051860
0.16048328 8.11325266
0.16311413 8.19426610
0.16574503 8.27344833
0.16837588 8.35069138
0.17100677 8.42589118
0.17363762 8.49894863
0.17626852 8.56977063
0.17889937 8.63827089
0.18153027 8.70437068
0.18416112 8.76799936
0.18679202 8.82909477
0.18942287 8.88760355
0.19205376 8.94348114
0.19468461 8.99669184
0.19731551 9.04720858
0.19994636 9.09501261
0.20257726 9.14009310
0.20520811 9.18244657
0.20783901 9.22207627
0.21046986 9.25899144
0.21310076 9.29320655
0.21573160 9.32474041
0.21836250 9.35361529
0.22099335 9.37985605
0.22362425 9.40348915
0.22625510 9.42454182
0.22888600 9.44304113
0.23151685 9.45901317
0.23414775 9.47248227
0.23677859 9.48347029
0.23940949 9.49199603
0.24204034 9.49807463
0.24467124 9.50171725
0.24730209 9.50293070
0.24730209 9.50293070
0.24995163 9.50213972
0.25260114 9.49976758
0.25525069 9.49581671
0.25790020 9.49029113
0.26054974 9.48319638
0.26319925 9.47453949
0.26584880 9.46432888
0.26849834 9.45257428
0.27114785 9.43928661
0.27379740 9.42447784
0.27644691 9.40816090
0.27909645 9.39034946
0.28174596 9.37105787
0.28439551 9.35030090
0.28704505 9.32809364
0.28969456 9.30445131
0.29234411 9.27938909
0.29499362 9.25292194
0.29764316 9.22506443
0.30029271 9.19583063
0.30294222 9.16523389
0.30559176 9.13328673
0.30824127 9.10000070
0.31089082 9.06538628
0.31354033 9.02945275
0.31618987 8.99220811
0.31883942 8.95365901
0.32148893 8.91381072
0.32413847 8.87266705
0.32678798 8.83023039
0.32943753 8.78650169
0.33208704 8.74148048
0.33473658 8.69516495
0.33473658 8.69516495
0.33738613 8.64755201
0.34003564 8.59863734
0.34268518 8.54841556
0.34533469 8.49688034
0.34798424 8.44402450
0.35063375 8.38984022
0.35328329 8.33431920
0.35593284 8.27745281
